partner_code,partner_name,id
U918,European Union,1
C156,China,2
C116,Cambodia,3
C591,Panama,4
C807,North Macedonia,5
C748,Eswatini,6
C268,Georgia,7
C892,Serbia,8
C031,Azerbaijan,9
C376,Israel,10
C044,Bahamas,11
C792,Türkiye,12
C158,Chinese Taipei,13
C050,Bangladesh,14
C834,Tanzania,15
C840,United States of America,16
C356,India,17
C710,South Africa,18
C498,"Moldova, Republic of",19
C800,Uganda,20
A000,World,21
C076,Brazil,22
C893,Montenegro,23
C360,Indonesia,24
C804,Ukraine,25
C586,Pakistan,26
C112,Belarus,27
C643,Russian Federation,28
C458,Malaysia,29
C120,Cameroon,30
C784,United Arab Emirates,31
C104,Myanmar,32
C764,Thailand,33
C756,Switzerland,34
C768,Togo,35
C384,Côte d'Ivoire,36
N990,"Other Countries, n.e.s.",37
C694,Sierra Leone,38
C788,Tunisia,39
C024,Angola,40
C344,"Hong Kong, China",41
C368,Iraq,42
C566,Nigeria,43
C288,Ghana,44
C404,Kenya,45
C124,Canada,46
C410,"Korea, Republic of",47
C682,"Saudi Arabia, Kingdom of",48
C231,Ethiopia,49
C036,Australia,50
C398,Kazakhstan,51
C604,Peru,52
C504,Morocco,53
C704,Viet Nam,54
C686,Senegal,55
C512,Oman,56
C558,Nicaragua,57
C422,Lebanese Republic,58
C446,"Macao, China",59
C214,Dominican Republic,60
C144,Sri Lanka,61
C414,"Kuwait, the State of",62
C352,Iceland,63
C562,Niger,64
C854,Burkina Faso,65
C554,New Zealand,66
C270,The Gambia,67
C578,Norway,68
C218,Ecuador,69
C417,Kyrgyz Republic,70
C736,Sudan,71
C818,Egypt,72
C051,Armenia,73
C178,Congo,74
C070,Bosnia and Herzegovina,75
C508,Mozambique,76
C887,Yemen,77
C096,Brunei Darussalam,78
C634,Qatar,79
C170,Colombia,80
C430,Liberia,81
C826,United Kingdom,82
C388,Jamaica,83
C048,"Bahrain, Kingdom of",84
C392,Japan,85
C012,Algeria,86
C480,Mauritius,87
C400,Jordan,88
C702,Singapore,89
C608,Philippines,90
C152,Chile,91
C434,Libya,92
C600,Paraguay,93
C364,Iran,94
C484,Mexico,95
C466,Mali,96
C180,Democratic Republic of the Congo,97
C266,Gabon,98
C222,El Salvador,99
C188,Costa Rica,100
C052,Barbados,101
C780,Trinidad and Tobago,102
C418,Lao People's Democratic Republic,103
C192,Cuba,104
C626,Timor-Leste,105
C328,Guyana,106
C858,Uruguay,107
C340,Honduras,108
C032,Argentina,109
C860,Uzbekistan,110
C262,Djibouti,111
C450,Madagascar,112
C008,Albania,113
C524,Nepal,114
C496,Mongolia,115
C320,Guatemala,116
C678,Sao Tomé and Principe,117
C020,Andorra,118
C068,"Bolivia, Plurinational State of",119
C716,Zimbabwe,120
C516,Namibia,121
C140,Central African Republic,122
C324,Guinea,123
C226,Equatorial Guinea,124
C690,Seychelles,125
C624,Guinea-Bissau,126
C894,Zambia,127
C646,Rwanda,128
C132,Cabo Verde,129
C204,Benin,130
C028,Antigua and Barbuda,131
C659,Saint Kitts and Nevis,132
C478,Mauritania,133
C084,Belize,134
C148,Chad,135
C548,Vanuatu,136
C670,Saint Vincent and the Grenadines,137
C212,Dominica,138
C336,Holy See,139
C662,Saint Lucia,140
C308,Grenada,141
C531,Curaçao,142
C862,"Venezuela, Bolivarian Republic of",143
C795,Turkmenistan,144
C004,Afghanistan,145
C462,Maldives,146
C762,Tajikistan,147
C598,Papua New Guinea,148
C174,Comoros,149
C740,Suriname,150
C332,Haiti,151
C108,Burundi,152
C760,Syrian Arab Republic,153
C454,Malawi,154
C706,Somalia,155
C776,Tonga,156
C882,Samoa,157
C072,Botswana,158
C090,Solomon Islands,159
C242,Fiji,160
C728,South Sudan,161
C064,Bhutan,162
C426,Lesotho,163
C438,Liechtenstein,164